engine.pop_size,engine.mean_fitness,engine.best_fitness,engine.gen,evals_total,elapsed_sec,gen
64,-117.84901080720051,-80.74194711960637,1,64,11.998809099197388,0
64,-109.65483115156565,-97.00495217846769,2,128,13.63251805305481,1
64,-104.0629643426685,-75.32081665008833,3,192,15.178781032562256,2
64,-101.68545398519953,-77.82957374627581,4,256,16.905043125152588,3
64,-101.30637574351418,-76.89411096088905,5,320,18.643378019332886,4
64,-100.88241438474414,-60.13671471806296,6,384,20.229899168014526,5
64,-102.3203013344868,-70.58750408886998,7,448,21.690230131149292,6
64,-101.97470698871683,-88.57791026914208,8,512,23.40397024154663,7
64,-100.19382383591704,-71.85358244617244,9,576,25.210626125335693,8
64,-102.56095351731743,-68.24419440680141,10,640,26.89194130897522,9
64,-103.25028168450028,-70.2467693595961,11,704,28.48231816291809,10
64,-103.27914433999443,-96.76574609434194,12,768,29.873616218566895,11
64,-101.8263746503323,-82.05370860951724,13,832,31.504220008850098,12
64,-102.64176764007364,-76.20857576764192,14,896,33.067547082901,13
64,-100.68602238849695,-80.08592087687536,15,960,34.5184051990509,14
64,-102.17313868145212,-93.27313600746604,16,1024,35.93131399154663,15
64,-101.96147602726664,-79.37800957795655,17,1088,37.415499210357666,16
64,-103.64842463452626,-86.56612191693299,18,1152,38.79209017753601,17
64,-101.3048782232299,-83.59327118394948,19,1216,40.16279196739197,18
64,-100.67335422288761,-74.69552614454389,20,1280,41.59227800369263,19
64,-102.78357655662774,-73.5311789190963,21,1344,43.027663230895996,20
64,-100.44140894247971,-60.77504262481254,22,1408,44.42934203147888,21
64,-100.40373642868337,-79.81142614438005,23,1472,45.9275689125061,22
64,-100.00988642594656,-80.3428434874795,24,1536,47.359862089157104,23
64,-99.39061599284592,-56.40950403421897,25,1600,48.928765058517456,24
64,-99.03431981555094,-67.04377933918192,26,1664,50.56501507759094,25
64,-96.4179492659211,-58.64395760861114,27,1728,52.45129609107971,26
64,-94.26220949482973,-53.86363544542458,28,1792,54.32428026199341,27
64,-95.91401691152765,-59.79847959190815,29,1856,56.245076179504395,28
64,-93.33616973285379,-59.315630617487834,30,1920,58.54386115074158,29
64,-94.51884388652152,-57.05708619338348,31,1984,60.77988314628601,30
64,-95.1937256623583,-60.5074144286343,32,2048,62.83973932266235,31
64,-90.60601069013096,-58.14056324998891,33,2112,65.3111162185669,32
64,-93.03408584615744,-57.020381777505776,34,2176,67.47326707839966,33
64,-94.22932186057355,-47.991163230058596,35,2240,69.74161410331726,34
64,-93.04665552380243,-43.53609437721398,36,2304,72.0222909450531,35
64,-95.74826630949353,-59.176977911243284,37,2368,74.14469504356384,36
64,-94.79520735530096,-33.222551077410856,38,2432,76.26208019256592,37
64,-96.2300769163683,-53.58060336892622,39,2496,78.50311303138733,38
64,-100.37977669091356,-69.00918367873483,40,2560,80.54728817939758,39
64,-97.71823563059338,-76.0741744186056,41,2624,82.74153304100037,40
64,-94.84099114543355,-61.8825951590655,42,2688,85.36910319328308,41
64,-94.21646544148352,-70.10886836034031,43,2752,88.35072326660156,42
64,-93.62222152513202,-59.43378288075636,44,2816,91.60112428665161,43
64,-90.44627583177765,-55.641163640249545,45,2880,95.20634126663208,44
64,-93.47608535847561,-52.993562917368486,46,2944,98.43031716346741,45
64,-87.3525268241021,-54.964358220484804,47,3008,101.58565306663513,46
64,-94.54033194623052,-59.47717909222327,48,3072,104.19900226593018,47
64,-92.15571493744477,-39.64299447507641,49,3136,107.18384528160095,48
64,-93.33466432044784,-55.30687995346413,50,3200,110.24245715141296,49
